algorithm,binsize,items_number,n_bins,runtime
bin_completion,50,3,1,0.00011209999502170831
bin_completion,50,6,2,9.57000011112541e-05
bin_completion,50,9,3,0.00028789999487344176
bin_completion,50,12,4,0.0009418999979970977
bin_completion,50,15,5,0.003579399999580346
bin_completion,50,18,6,0.023782100004609674
bin_completion,50,21,7,0.23390930000459775
bin_completion,50,24,8,2.228520300006494
bin_completion,100,3,1,6.240000948309898e-05
bin_completion,100,6,2,0.00017420000222045928
bin_completion,100,9,3,0.0002882999979192391
bin_completion,100,12,4,7.850000110920519e-05
bin_completion,100,15,5,0.003361600000062026
bin_completion,100,18,6,0.02927790000103414
bin_completion,100,21,7,0.30792650001239963
bin_completion,100,24,8,2.9422017999895616
bin_completion,125,3,1,4.400000034365803e-05
bin_completion,125,6,2,5.6900011259131134e-05
bin_completion,125,9,3,0.0003034999972442165
bin_completion,125,12,4,0.0007493000011891127
bin_completion,125,15,5,0.003327700003865175
bin_completion,125,18,6,0.025211700005456805
bin_completion,125,21,7,0.30893559999822173
bin_completion,125,24,8,2.105102600005921
bin_completion,150,3,1,6.289999873843044e-05
bin_completion,150,6,2,0.0001666999887675047
bin_completion,150,9,3,0.0004872000135947019
bin_completion,150,12,4,0.0008594999962951988
bin_completion,150,15,5,0.0037171000003581867
bin_completion,150,18,6,0.028125099997851066
bin_completion,150,21,7,0.22244890000729356
bin_completion,150,24,8,2.264911000005668
triplet_packing,50,3,1,0.00019890000112354755
triplet_packing,50,6,2,0.0002001000102609396
triplet_packing,50,9,3,0.00023689999943599105
triplet_packing,50,12,4,0.00024190000840462744
triplet_packing,50,15,5,0.0003642999945441261
triplet_packing,50,18,6,0.0003345000004628673
triplet_packing,50,21,7,0.0009290000016335398
triplet_packing,50,24,8,0.0005633999971905723
triplet_packing,100,3,1,0.00017750001279637218
triplet_packing,100,6,2,0.0001914000022225082
triplet_packing,100,9,3,0.00020710000535473228
triplet_packing,100,12,4,0.0005755000020144507
triplet_packing,100,15,5,0.0003850999928545207
triplet_packing,100,18,6,0.0007550000009359792
triplet_packing,100,21,7,0.0006609999982174486
triplet_packing,100,24,8,0.0004867999959969893
triplet_packing,125,3,1,0.0001962000096682459
triplet_packing,125,6,2,0.00021600000036414713
triplet_packing,125,9,3,0.00021600000036414713
triplet_packing,125,12,4,0.00025430000096093863
triplet_packing,125,15,5,0.0007781000022077933
triplet_packing,125,18,6,0.00030980000155977905
triplet_packing,125,21,7,0.0012348000018391758
triplet_packing,125,24,8,0.0011431000020820647
triplet_packing,150,3,1,0.00016820000018924475
triplet_packing,150,6,2,0.00019249999604653567
triplet_packing,150,9,3,0.0002739000046858564
triplet_packing,150,12,4,0.00025999998615588993
triplet_packing,150,15,5,0.0002759000053629279
triplet_packing,150,18,6,0.0002826999989338219
triplet_packing,150,21,7,0.00036079999699722975
triplet_packing,150,24,8,0.00044659999548457563
